Week,Link clicks,Landing page views,Results,Amount spent (USD),Clicks_Lag1,LPV_Lag1,Clicks_Lag2,LPV_Lag2
1,1004.0,507.0,14.0,3518.97,,,,
2,943.0,481.0,10.0,3433.9700000000003,1004.0,507.0,,
3,828.0,466.0,12.0,3384.1,943.0,481.0,1004.0,507.0
4,1050.0,609.0,25.0,4159.86,828.0,466.0,943.0,481.0
5,846.0,427.0,12.0,3869.12,1050.0,609.0,828.0,466.0
6,960.0,570.0,17.0,4035.2799999999997,846.0,427.0,1050.0,609.0
7,799.0,473.0,16.0,4012.89,960.0,570.0,846.0,427.0
8,751.0,422.0,16.0,3746.52,799.0,473.0,960.0,570.0
9,732.0,443.0,9.0,3060.27,751.0,422.0,799.0,473.0
10,745.0,415.0,9.0,2926.33,732.0,443.0,751.0,422.0
11,637.0,420.0,5.0,2894.74,745.0,415.0,732.0,443.0
12,579.0,324.0,7.0,2601.19,637.0,420.0,745.0,415.0
13,725.0,444.0,15.0,2870.64,579.0,324.0,637.0,420.0
14,392.0,235.0,8.0,1335.86,725.0,444.0,579.0,324.0
15,609.0,420.0,5.0,2057.11,392.0,235.0,725.0,444.0
16,855.0,556.0,13.0,3623.96,609.0,420.0,392.0,235.0
17,867.0,498.0,13.0,3536.71,855.0,556.0,609.0,420.0
18,884.0,522.0,10.0,3568.23,867.0,498.0,855.0,556.0
19,1032.0,567.0,8.0,4809.53,884.0,522.0,867.0,498.0
20,1169.0,680.0,18.0,6493.6,1032.0,567.0,884.0,522.0
21,1468.0,815.0,15.0,8318.72,1169.0,680.0,1032.0,567.0
22,1570.0,893.0,27.0,9201.32,1468.0,815.0,1169.0,680.0
23,1523.0,855.0,31.0,9027.73,1570.0,893.0,1468.0,815.0
24,1286.0,691.0,15.0,8937.95,1523.0,855.0,1570.0,893.0
25,955.0,556.0,22.0,7263.11,1286.0,691.0,1523.0,855.0
26,674.0,402.0,19.0,4680.44,955.0,556.0,1286.0,691.0
27,499.0,261.0,5.0,2268.71,674.0,402.0,955.0,556.0
28,468.0,238.0,9.0,2215.15,499.0,261.0,674.0,402.0
29,375.0,186.0,6.0,2296.36,468.0,238.0,499.0,261.0
30,420.0,207.0,11.0,2040.08,375.0,186.0,468.0,238.0
31,400.0,203.0,4.0,2369.99,420.0,207.0,375.0,186.0
32,520.0,252.0,9.0,3017.41,400.0,203.0,420.0,207.0
33,592.0,376.0,14.0,2791.33,520.0,252.0,400.0,203.0
34,623.0,365.0,16.0,2765.58,592.0,376.0,520.0,252.0
35,545.0,293.0,10.0,2984.76,623.0,365.0,592.0,376.0
36,581.0,285.0,6.0,3394.42,545.0,293.0,623.0,365.0
37,498.0,244.0,4.0,3277.63,581.0,285.0,545.0,293.0
38,666.0,306.0,9.0,3301.43,498.0,244.0,581.0,285.0
39,634.0,277.0,10.0,3122.67,666.0,306.0,498.0,244.0
40,788.0,367.0,10.0,4612.49,634.0,277.0,666.0,306.0
41,729.0,333.0,12.0,4588.17,788.0,367.0,634.0,277.0
42,803.0,371.0,5.0,4643.53,729.0,333.0,788.0,367.0
43,818.0,364.0,14.0,4602.93,803.0,371.0,729.0,333.0
44,881.0,397.0,8.0,3968.89,818.0,364.0,803.0,371.0
45,909.0,404.0,12.0,3573.6,881.0,397.0,818.0,364.0
46,852.0,348.0,7.0,3513.38,909.0,404.0,881.0,397.0
47,720.0,328.0,6.0,3425.96,852.0,348.0,909.0,404.0
48,565.0,252.0,6.0,3444.68,720.0,328.0,852.0,348.0
49,903.0,409.0,13.0,4043.35,565.0,252.0,720.0,328.0
50,811.0,439.0,20.0,4037.82,903.0,409.0,565.0,252.0
51,880.0,454.0,10.0,4144.11,811.0,439.0,903.0,409.0
52,745.0,365.0,12.0,3636.0,880.0,454.0,811.0,439.0
